#,Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),% of world landmass
1,Russia,"17,098,242","6,601,665","16,376,870","6,323,142",11.00%
2,Canada,"9,984,670","3,855,101","9,093,510","3,511,022",6.10%
3,China,"9,706,961","3,747,877","9,388,211","3,624,807",6.30%
4,United States,"9,372,610","3,618,783","9,147,420","3,531,837",6.10%
5,Brazil,"8,515,767","3,287,955","8,358,140","3,227,095",5.60%
6,Australia,"7,692,024","2,969,906","7,682,300","2,966,151",5.20%
7,India,"3,287,590","1,269,345","2,973,190","1,147,955",2.00%
8,Argentina,"2,780,400","1,073,518","2,736,690","1,056,641",1.80%
9,Kazakhstan,"2,724,900","1,052,089","2,699,700","1,042,360",1.80%
10,Algeria,"2,381,741","919,595","2,381,740","919,595",1.60%
11,DR Congo,"2,344,858","905,354","2,267,050","875,313",1.50%
12,Greenland,"2,166,086","836,330","410,450","158,476",0.30%
13,Saudi Arabia,"2,149,690","830,000","2,149,690","830,000",1.40%
14,Mexico,"1,964,375","758,449","1,943,950","750,563",1.30%
15,Indonesia,"1,904,569","735,358","1,811,570","699,451",1.20%
16,Sudan,"1,886,068","728,215","1,765,048","681,489",1.20%
17,Libya,"1,759,540","679,362","1,759,540","679,362",1.20%
18,Iran,"1,648,195","636,371","1,628,550","628,786",1.10%
19,Mongolia,"1,564,110","603,906","1,553,560","599,833",1.00%
20,Peru,"1,285,216","496,224","1,280,000","494,211",0.90%
21,Chad,"1,284,000","495,755","1,259,200","486,180",0.80%
22,Niger,"1,267,000","489,191","1,266,700","489,075",0.90%
23,Angola,"1,246,700","481,353","1,246,700","481,353",0.80%
24,Mali,"1,240,192","478,841","1,220,190","471,118",0.80%
25,South Africa,"1,221,037","471,445","1,213,090","468,376",0.80%
26,Colombia,"1,141,748","440,831","1,109,500","428,380",0.70%
27,Ethiopia,"1,104,300","426,372","1,000,000","386,102",0.70%
28,Bolivia,"1,098,581","424,164","1,083,300","418,264",0.70%
29,Mauritania,"1,030,700","397,955","1,030,700","397,955",0.70%
30,Egypt,"1,002,450","387,048","995,450","384,345",0.70%
31,Tanzania,"945,087","364,900","885,800","342,009",0.60%
32,Nigeria,"923,768","356,669","910,770","351,650",0.60%
33,Venezuela,"916,445","353,841","882,050","340,561",0.60%
34,Pakistan,"881,912","340,508","770,880","297,638",0.50%
35,Namibia,"825,615","318,772","823,290","317,874",0.60%
36,Mozambique,"801,590","309,496","786,380","303,623",0.50%
37,Turkey,"783,562","302,535","769,630","297,156",0.50%
38,Chile,"756,102","291,932","743,532","287,079",0.50%
39,Zambia,"752,612","290,585","743,390","287,024",0.50%
40,Myanmar,"676,578","261,228","653,290","252,237",0.40%
41,Afghanistan,"652,230","251,827","652,860","252,071",0.40%
42,Somalia,"637,657","246,201","627,340","242,217",0.40%
43,Central African Republic,"622,984","240,535","622,980","240,534",0.40%
44,South Sudan,"619,745","239,285","610,952","235,890",0.40%
45,Ukraine,"603,500","233,013","579,320","223,677",0.40%
46,Madagascar,"587,041","226,658","581,795","224,632",0.40%
47,Botswana,"582,000","224,711","566,730","218,816",0.40%
48,Kenya,"580,367","224,081","569,140","219,746",0.40%
49,France,"551,695","213,011","547,557","211,413",0.40%
50,Yemen,"527,968","203,850","527,970","203,850",0.40%
51,Thailand,"513,120","198,117","510,890","197,256",0.30%
52,Spain,"505,992","195,365","498,800","192,588",0.30%
53,Turkmenistan,"488,100","188,456","469,930","181,441",0.30%
54,Cameroon,"475,442","183,569","472,710","182,514",0.30%
55,Papua New Guinea,"462,840","178,703","452,860","174,850",0.30%
56,Sweden,"450,295","173,860","410,340","158,433",0.30%
57,Uzbekistan,"447,400","172,742","425,400","164,248",0.30%
58,Morocco,"446,550","172,414","446,300","172,317",0.30%
59,Iraq,"438,317","169,235","434,320","167,692",0.30%
60,Paraguay,"406,752","157,048","397,300","153,398",0.30%
