Country_or_dependency,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass
Russia,17098242,6601665,16376870,6323142,11.0
Canada,9984670,3855101,9093510,3511022,6.1
China,9706961,3747877,9388211,3624807,6.3
United States,9372610,3618783,9147420,3531837,6.1
Brazil,8515767,3287955,8358140,3227095,5.6
Australia,7692024,2969906,7682300,2966151,5.2
India,3287590,1269345,2973190,1147955,2.0
Argentina,2780400,1073518,2736690,1056641,1.8
Kazakhstan,2724900,1052089,2699700,1042360,1.8
Algeria,2381741,919595,2381740,919595,1.6
DR Congo,2344858,905354,2267050,875313,1.5
Greenland,2166086,836330,410450,158476,0.3
Saudi Arabia,2149690,830000,2149690,830000,1.4
Mexico,1964375,758449,1943950,750563,1.3
Indonesia,1904569,735358,1811570,699451,1.2
Sudan,1886068,728215,1765048,681489,1.2
Libya,1759540,679362,1759540,679362,1.2
Iran,1648195,636371,1628550,628786,1.1
Mongolia,1564110,603906,1553560,599833,1.0
Peru,1285216,496224,1280000,494211,0.9
Chad,1284000,495755,1259200,486180,0.8
Niger,1267000,489191,1266700,489075,0.9
Angola,1246700,481353,1246700,481353,0.8
Mali,1240192,478841,1220190,471118,0.8
South Africa,1221037,471445,1213090,468376,0.8
Colombia,1141748,440831,1109500,428380,0.7
Ethiopia,1104300,426372,1000000,386102,0.7
Bolivia,1098581,424164,1083300,418264,0.7
Mauritania,1030700,397955,1030700,397955,0.7
Egypt,1002450,387048,995450,384345,0.7
Tanzania,945087,364900,885800,342009,0.6
Nigeria,923768,356669,910770,351650,0.6
Venezuela,916445,353841,882050,340561,0.6
Pakistan,881912,340508,770880,297638,0.5
Namibia,825615,318772,823290,317874,0.6
Mozambique,801590,309496,786380,303623,0.5
Turkey,783562,302535,769630,297156,0.5
Chile,756102,291932,743532,287079,0.5
Zambia,752612,290585,743390,287024,0.5
Myanmar,676578,261228,653290,252237,0.4
Afghanistan,652230,251827,652860,252071,0.4
Somalia,637657,246201,627340,242217,0.4
Central African Republic,622984,240535,622980,240534,0.4
South Sudan,619745,239285,610952,235890,0.4
Ukraine,603500,233013,579320,223677,0.4
Madagascar,587041,226658,581795,224632,0.4
Botswana,582000,224711,566730,218816,0.4
Kenya,580367,224081,569140,219746,0.4
France,551695,213011,547557,211413,0.4
Yemen,527968,203850,527970,203850,0.4
Thailand,513120,198117,510890,197256,0.3
Spain,505992,195365,498800,192588,0.3
Turkmenistan,488100,188456,469930,181441,0.3
Cameroon,475442,183569,472710,182514,0.3
Papua New Guinea,462840,178703,452860,174850,0.3
Sweden,450295,173860,410340,158433,0.3
Uzbekistan,447400,172742,425400,164248,0.3
Morocco,446550,172414,446300,172317,0.3
Iraq,438317,169235,434320,167692,0.3
Paraguay,406752,157048,397300,153398,0.3
Zimbabwe,390757,150872,386850,149364,0.3
Japan,377930,145920,364555,140755,0.2
Germany,357114,137882,348560,134580,0.2
Philippines,342353,132183,298170,115124,0.2
Congo,342000,132047,341500,131854,0.2
Finland,338424,130666,303890,117333,0.2
Vietnam,331212,127882,310070,119719,0.2
Malaysia,330803,127724,328550,126854,0.2
Norway,323802,125021,365268,141031,0.2
Côte d'Ivoire,322463,124504,318000,122780,0.2
Poland,312679,120726,306230,118236,0.2
Oman,309500,119499,309500,119499,0.2
Italy,301336,116346,294140,113568,0.2
Ecuador,276841,106889,248360,95892,0.2
Burkina Faso,272967,105393,273600,105638,0.2
New Zealand,270467,104428,263310,101665,0.2
Gabon,267668,103347,257670,99487,0.2
Western Sahara,266000,102703,266000,102703,0.2
Guinea,245857,94926,245720,94873,0.2
United Kingdom,242900,93784,241930,93410,0.2
Uganda,241550,93263,199810,77147,0.1
Ghana,238533,92098,227540,87854,0.2
Romania,238391,92043,230170,88869,0.2
Laos,236800,91429,230800,89112,0.2
Guyana,214969,83000,196850,76004,0.1
Belarus,207600,80155,202910,78344,0.1
Kyrgyzstan,199951,77201,191800,74054,0.1
Senegal,196722,75955,192530,74336,0.1
Syria,185180,71498,183630,70900,0.1
Cambodia,181035,69898,176520,68155,0.1
Uruguay,181034,69898,175020,67576,0.1
Suriname,163820,63251,156000,60232,0.1
Tunisia,163610,63170,155360,59985,0.1
Bangladesh,147570,56977,130170,50259,0.1
Nepal,147181,56827,143350,55348,0.1
Tajikistan,143100,55251,139960,54039,0.1
Greece,131990,50962,128900,49769,0.1
Nicaragua,130373,50337,120340,46464,0.1
North Korea,120538,46540,120410,46491,0.1
Malawi,118484,45747,94280,36402,0.1
Eritrea,117600,45406,101000,38996,0.1
Benin,112622,43484,112760,43537,0.1
Honduras,112492,43433,111890,43201,0.1
Liberia,111369,43000,96320,37189,0.1
Bulgaria,110879,42811,108560,41915,0.1
Cuba,109884,42426,106440,41097,0.1
Guatemala,108889,42042,107160,41375,0.1
Iceland,103000,39769,100250,38707,0.1
South Korea,100210,38691,97230,37541,0.1
Hungary,93028,35918,90530,34954,0.1
Portugal,92090,35556,91590,35363,0.1
Jordan,89342,34495,88780,34278,0.1
Serbia,88361,34116,87460,33768,0.1
Azerbaijan,86600,33436,82658,31914,0.1
Austria,83871,32383,82409,31818,0.1
United Arab Emirates,83600,32278,83600,32278,0.1
French Guiana,83534,32253,82200,31738,0.1
Czechia,78865,30450,77240,29823,0.1
Panama,75417,29119,74340,28703,0.0
Sierra Leone,71740,27699,72180,27869,0.0
Ireland,70273,27133,68890,26599,0.0
Georgia,69700,26911,69490,26830,0.0
Sri Lanka,65610,25332,62710,24212,0.0
Lithuania,65300,25212,62674,24199,0.0
Latvia,64559,24926,62200,24016,0.0
Togo,56785,21925,54390,21000,0.0
Croatia,56594,21851,55960,21606,0.0
Bosnia and Herzegovina,51209,19772,51000,19691,0.0
Costa Rica,51100,19730,51060,19714,0.0
