Country_or_dependency,Population_2024,Yearly_Change,Net_Change,Density_PKm2,Land_Area_Km2,Migrants_net,Fertility_Rate,Median_Age,Urban_Pop_Percentage,World_Share,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass,kids,adults,retired
Afghanistan,42647492,2.88,1192731,65,652860,-44089,4.8,17,27,0.52,652230,251827,652860,252071,0.4,39.8,57.35,2.85
Albania,2791765,-0.71,-19890,102,27400,-24472,1.3,37,69,0.03,28748,11100,27400,10579,0.0,17.9,67.53,14.57
Algeria,46814308,1.41,650089,20,2381740,-31240,2.7,28,74,0.57,2381741,919595,2381740,919595,1.6,28.78,64.29,6.93
American Samoa,46765,-1.59,-756,234,200,-1110,2.3,29,0,0.0,199,77,200,77,0.0,25.91,65.89,8.2
Andorra,81938,1.34,1082,174,470,988,1.1,43,83,0.0,468,181,470,181,0.0,12.31,68.17,19.52
Angola,37885849,3.09,1135943,30,1246700,-2629,5.0,17,68,0.46,1246700,481353,1246700,481353,0.8,47.18,50.49,2.33
Anguilla,14598,1.3,188,162,90,109,1.4,38,0,0.0,91,35,90,35,0.0,21.0,67.88,11.12
Antigua and Barbuda,93772,0.49,456,213,440,9,1.6,36,28,0.0,442,171,440,170,0.0,21.97,67.94,10.09
Argentina,45696159,0.35,157758,17,2736690,3454,1.5,33,95,0.56,2780400,1073518,2736690,1056641,1.8,18.51,68.43,13.06
Armenia,2973840,1.03,30447,104,28470,-29966,1.7,36,63,0.04,29743,11484,28470,10992,0.0,17.98,67.53,14.49
Australia,26713205,0.99,262081,3,7682300,138510,1.6,38,86,0.33,7692024,2969906,7682300,2966151,5.2,18.53,64.89,16.59
Austria,9120813,-0.11,-9616,111,82409,8813,1.3,43,58,0.11,83871,32383,82409,31818,0.1,14.08,65.11,20.81
Azerbaijan,10336577,0.18,18370,125,82658,10864,1.7,33,58,0.13,86600,33436,82658,31914,0.1,21.78,69.64,8.58
Bahamas,401283,0.46,1843,40,10010,1018,1.4,35,88,0.0,13943,5383,10010,3865,0.0,21.37,68.8,9.83
Bahrain,1607049,2.38,37383,2115,760,22699,1.8,33,0,0.02,765,295,760,293,0.0,18.14,77.83,4.03
Bangladesh,173562364,1.22,2095374,1333,130170,-473362,2.1,26,42,2.13,147570,56977,130170,50259,0.1,25.38,67.09,7.53
Barbados,282467,0.05,131,657,430,-70,1.7,39,32,0.0,430,166,430,166,0.0,16.78,67.56,15.66
Belarus,9056696,-0.65,-58984,45,202910,-3119,1.2,41,84,0.11,207600,80155,202910,78344,0.1,15.83,66.81,17.36
