Year,World_Population,Percentage_Yearly_Change,Net_change,Population_Density
1952,2584086339.0,1.86,47159304,17
1953,2634106235.0,1.94,50019896,18
1954,2685894860.0,1.97,51788625,18
1955,2740213792.0,2.02,54318932,18
1956,2795409994.0,2.01,55196202,19
1957,2852618337.0,2.05,57208343,19
1958,2911249671.0,2.06,58631334,20
1959,2965950351.0,1.88,54700680,20
1960,3015470894.0,1.67,49520543,20
1961,3064869675.0,1.64,49398781,21
1962,3123374315.0,1.91,58504640,21
1963,3192807828.0,2.22,69433513,21
1964,3264487339.0,2.25,71679511,22
1965,3334533703.0,2.15,70046364,22
1966,3404041125.0,2.08,69507422,23
1967,3473412880.0,2.04,69371755,23
1968,3545187251.0,2.07,71774371,24
1969,3619491579.0,2.1,74304328,24
1970,3694683794.0,2.08,75192215,25
1971,3769847865.0,2.03,75164071,25
1972,3844917680.0,1.99,75069815,26
1973,3920805042.0,1.97,75887362,26
1974,3996416096.0,1.93,75611054,27
1975,4070735277.0,1.86,74319181,27
1976,4144246377.0,1.81,73511100,28
1977,4217863796.0,1.78,73617419,28
1978,4292097502.0,1.76,74233706,29
1979,4368539528.0,1.78,76442026,29
1980,4447606236.0,1.81,79066708,30
1981,4528777306.0,1.83,81171070,30
1982,4612673421.0,1.85,83896115,31
1983,4697327573.0,1.84,84654152,32
1984,4782175519.0,1.81,84847946,32
1985,4868943465.0,1.81,86767946,33
1986,4958072838.0,1.83,89129373,33
1987,5049746397.0,1.85,91673559,34
1988,5141992542.0,1.83,92246145,35
1989,5234431732.0,1.8,92439190,35
1990,5327803110.0,1.78,93371378,36
1991,5418735891.0,1.71,90932781,36
1992,5505989816.0,1.61,87253925,37
1993,5591544797.0,1.55,85554981,38
1994,5675551255.0,1.5,84006458,38
1995,5758878982.0,1.47,83327727,39
1996,5842055734.0,1.44,83176752,39
1997,5924787816.0,1.42,82732082,40
1998,6007066690.0,1.39,82278874,40
1999,6089006339.0,1.36,81939649,41
2000,6171702993.0,1.36,82696654,41
2001,6254936459.0,1.35,83233466,42
2002,6337730342.0,1.32,82793883,43
2003,6420361634.0,1.3,82631292,43
2004,6503377772.0,1.29,83016138,44
2005,6586970132.0,1.29,83592360,44
2006,6671452015.0,1.28,84481883,45
2007,6757308781.0,1.29,85856766,45
2008,6844457662.0,1.29,87148881,46
2009,6932766416.0,1.29,88308754,47
2010,7021732148.0,1.28,88965732,47
2011,7110923765.0,1.27,89191617,48
2012,7201202485.0,1.27,90278720,48
2013,7291793585.0,1.26,90591100,49
2014,7381616244.0,1.23,89822659,50
2015,7470491872.0,1.2,88875628,50
2016,7558554526.0,1.18,88062654,51
2017,7645617954.0,1.15,87063428,51
2018,7729902781.0,1.1,84284827,52
2019,7811293698.0,1.05,81390917,52
2020,7887001292.0,0.97,75707594,53
2021,7954448391.0,0.86,67447099,53
2022,8021407192.0,0.84,66958801,54
2023,8091734930.0,0.88,70327738,54
2024,8161972572.0,0.87,70237642,55
